lemma	word form	sentence	doc index	sent index	token index	tokenized sentence	randomized indices	randomized tokenized sentence	randomized token index	is_randomized
eat	eating	Somehow they sensed the awesomeness of a picture of her eating beef would cause everyone's minds to explode and they denied me my right to toss my artwork onto the 'net (anyone remember that horrid sandra bullock movie of the same name?)	12269	3	10	"('Somehow', 'they', 'sensed', 'the', 'awesomeness', 'of', 'a', 'picture', 'of', 'her', 'eating', 'beef', 'would', 'cause', 'everyone', ""'s"", 'minds', 'to', 'explode', 'and', 'they', 'denied', 'me', 'my', 'right', 'to', 'toss', 'my', 'artwork', 'onto', 'the', ""'"", 'net', '(', 'anyone', 'remember', 'that', 'horrid', 'sandra', 'bullock', 'movie', 'of', 'the', 'same', 'name', '?', ')')"	(34, 21, 16, 24, 12, 1, 35, 14, 15, 10, 5, 20, 25, 4, 2, 36, 23, 0, 37, 44, 33, 31, 39, 8, 28, 29, 17, 11, 40, 41, 45, 30, 9, 13, 32, 6, 43, 19, 38, 18, 3, 27, 46, 22, 26, 7, 42)	"('anyone', 'denied', 'minds', 'right', 'would', 'they', 'remember', 'everyone', ""'s"", 'eating', 'of', 'they', 'to', 'awesomeness', 'sensed', 'that', 'my', 'Somehow', 'horrid', 'name', '(', ""'"", 'bullock', 'of', 'artwork', 'onto', 'to', 'beef', 'movie', 'of', '?', 'the', 'her', 'cause', 'net', 'a', 'same', 'and', 'sandra', 'explode', 'the', 'my', ')', 'me', 'toss', 'picture', 'the')"	9.0	True
eat	eating	I am not really eating enough to exercise right now.	29321	2	4	('I', 'am', 'not', 'really', 'eating', 'enough', 'to', 'exercise', 'right', 'now', '.')	(4, 8, 9, 2, 5, 6, 7, 3, 1, 0, 10)	('eating', 'right', 'now', 'not', 'enough', 'to', 'exercise', 'really', 'am', 'I', '.')	0.0	True
eat	eating	I'm glad i wasn't eating at the time.	7419	5	6	"('I', ""'m"", 'glad', 'i', 'was', ""n't"", 'eating', 'at', 'the', 'time', '.')"	(9, 3, 2, 7, 10, 6, 8, 0, 1, 5, 4)	"('time', 'i', 'glad', 'at', '.', 'eating', 'the', 'I', ""'m"", ""n't"", 'was')"	5.0	True
eat	eat	didnt had anithing to eat 4 my breakfast but still didnt tell my little teddy .. waited for my bro to come back (around 1) b4 i could have sth to eat.. had instant macoroni and felt so full... as usual, when my bro comes back i wont have anithing to do as the com and tv will be occupied...	4752	7	5	('did', 'nt', 'had', 'anithing', 'to', 'eat', '4', 'my', 'breakfast', 'but', 'still', 'did', 'nt', 'tell', 'my', 'little', 'teddy', '..', 'waited', 'for', 'my', 'bro', 'to', 'come', 'back', '(', 'around', '1', ')', 'b4', 'i', 'could', 'have', 'sth', 'to', 'eat', '..', 'had', 'instant', 'macoroni', 'and', 'felt', 'so', 'full', '...', 'as', 'usual', ',', 'when', 'my', 'bro', 'comes', 'back', 'i', 'wo', 'nt', 'have', 'anithing', 'to', 'do', 'as', 'the', 'com', 'and', 'tv', 'will', 'be', 'occupied', '...')	(45, 64, 24, 35, 60, 15, 39, 51, 10, 68, 6, 9, 28, 21, 30, 59, 29, 1, 26, 46, 11, 44, 36, 49, 57, 65, 12, 4, 5, 52, 23, 50, 41, 55, 20, 66, 16, 8, 40, 47, 61, 0, 3, 38, 25, 14, 2, 19, 42, 33, 31, 37, 63, 43, 18, 58, 27, 22, 7, 32, 48, 13, 17, 53, 67, 62, 54, 56, 34)	('as', 'tv', 'back', 'eat', 'as', 'little', 'macoroni', 'comes', 'still', '...', '4', 'but', ')', 'bro', 'i', 'do', 'b4', 'nt', 'around', 'usual', 'did', '...', '..', 'my', 'anithing', 'will', 'nt', 'to', 'eat', 'back', 'come', 'bro', 'felt', 'nt', 'my', 'be', 'teddy', 'breakfast', 'and', ',', 'the', 'did', 'anithing', 'instant', '(', 'my', 'had', 'for', 'so', 'sth', 'could', 'had', 'and', 'full', 'waited', 'to', '1', 'to', 'my', 'have', 'when', 'tell', '..', 'i', 'occupied', 'com', 'wo', 'have', 'to')	28.0	True
eat	eat	Now, i am going to go and eat some of that cassarole!	34333	9	8	('Now', ',', 'i', 'am', 'going', 'to', 'go', 'and', 'eat', 'some', 'of', 'that', 'cassarole', '!')	(8, 0, 2, 10, 4, 3, 11, 13, 6, 1, 5, 7, 9, 12)	('eat', 'Now', 'i', 'of', 'going', 'am', 'that', '!', 'go', ',', 'to', 'and', 'some', 'cassarole')	0.0	True
eat	ate	ate, watched a chinovela, sountripped, i even forgot to took a bath coz' its already 9 pm.	37517	11	0	"('ate', ',', 'watched', 'a', 'chinovela', ',', 'sountripped', ',', 'i', 'even', 'forgot', 'to', 'took', 'a', 'bath', 'coz', ""'"", 'its', 'already', '9', 'pm', '.')"	(20, 15, 0, 4, 21, 6, 18, 13, 16, 3, 11, 14, 1, 17, 8, 2, 5, 19, 7, 10, 9, 12)	"('pm', 'coz', 'ate', 'chinovela', '.', 'sountripped', 'already', 'a', ""'"", 'a', 'to', 'bath', ',', 'its', 'i', 'watched', ',', '9', ',', 'forgot', 'even', 'took')"	2.0	True
eat	eat	Afterward go to timessquares,also eat...eat...n eat...	32527	4	11	('Afterward', 'go', 'to', 'timessquares', ',', 'also', 'eat', '...', 'eat', '...', 'n', 'eat', '...')	(0, 6, 8, 12, 11, 5, 7, 1, 10, 9, 2, 3, 4)	('Afterward', 'eat', 'eat', '...', 'eat', 'also', '...', 'go', 'n', '...', 'to', 'timessquares', ',')	4.0	True
eat	eating	My fridge is now full of leftovers that i will probably never get around to eating so they'll just go bad.	16247	19	15	"('My', 'fridge', 'is', 'now', 'full', 'of', 'leftovers', 'that', 'i', 'will', 'probably', 'never', 'get', 'around', 'to', 'eating', 'so', 'they', ""'ll"", 'just', 'go', 'bad', '.')"	(6, 12, 15, 3, 2, 8, 9, 5, 0, 11, 16, 17, 13, 7, 1, 14, 4, 22, 10, 19, 20, 18, 21)	"('leftovers', 'get', 'eating', 'now', 'is', 'i', 'will', 'of', 'My', 'never', 'so', 'they', 'around', 'that', 'fridge', 'to', 'full', '.', 'probably', 'just', 'go', ""'ll"", 'bad')"	2.0	True
eat	eat	That will make it virtually impossible for me to ever eat a slice because i'll be thoroughly disgusted by the idea of this pie by around 9:00 tonight.	16660	12	10	"('That', 'will', 'make', 'it', 'virtually', 'impossible', 'for', 'me', 'to', 'ever', 'eat', 'a', 'slice', 'because', 'i', ""'ll"", 'be', 'thoroughly', 'disgusted', 'by', 'the', 'idea', 'of', 'this', 'pie', 'by', 'around', '9:00', 'tonight', '.')"	(24, 4, 13, 8, 6, 28, 0, 23, 7, 5, 3, 10, 27, 21, 15, 18, 29, 17, 14, 12, 16, 22, 19, 25, 20, 2, 9, 26, 11, 1)	"('pie', 'virtually', 'because', 'to', 'for', 'tonight', 'That', 'this', 'me', 'impossible', 'it', 'eat', '9:00', 'idea', ""'ll"", 'disgusted', '.', 'thoroughly', 'i', 'slice', 'be', 'of', 'by', 'by', 'the', 'make', 'ever', 'around', 'a', 'will')"	11.0	True
eat	ate	and i cussed him out, and then we played soccer in the snow, and then ate...	21011	130	17	('and', 'i', 'cussed', 'him', 'out', ',', 'and', 'then', 'we', 'played', 'soccer', 'in', 'the', 'snow', ',', 'and', 'then', 'ate', '...')	(12, 0, 18, 4, 3, 6, 10, 17, 2, 9, 14, 8, 13, 15, 11, 7, 1, 5, 16)	('the', 'and', '...', 'out', 'him', 'and', 'soccer', 'ate', 'cussed', 'played', ',', 'we', 'snow', 'and', 'in', 'then', 'i', ',', 'then')	7.0	True
