,Unnamed: 0,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,ENSEMBLE tags,ROBERTA POS PREDICTIONS ENSEMBLE,ROBERTA REPLACEMENTS
0,0,few,FeW,0.000337838,0.000168919,2,CoS FoR thE pAsS FeW 25Hrs...,31444,3,4,"('CoS', 'FoR', 'thE', 'pAsS', 'FeW', '25Hrs', '...')",5920,ADJ,ADP,"['On', 'of', 'E', 'ar', 'at']"
1,1,few,few,0.000337838,0.000168919,2,"I few more weeks or months, will tell.",13393,24,1,"('I', 'few', 'more', 'weeks', 'or', 'months', ',', 'will', 'tell', '.')",5920,ADJ,VERB,"['guess', 'think', 'hope', 'need', 'suppose']"
2,2,able,abled,0.000350263,0.000350263,1,Shroom thanked him and looked sufficiently ill-abled that Sprout took up the electric screwdriver and removed the cabinet doors that remained.,23858,21,8,"('Shroom', 'thanked', 'him', 'and', 'looked', 'sufficiently', 'ill', '-', 'abled', 'that', 'Sprout', 'took', 'up', 'the', 'electric', 'screwdriver', 'and', 'removed', 'the', 'cabinet', 'doors', 'that', 'remained', '.')",2855,ADJ,ADJ,"['so', 'such', 'after', 'enough', 'for']"
3,3,george,GEORGE,0.001814882,0.998185118,1,GEORGE THE TUMOUR PIG!!,16833,103,0,"('GEORGE', 'THE', 'TUMOUR', 'PIG', '!', '!')",551,DET,PUNCT,"['FOR', 'NOT', '</s>', 'AND', '?']"
4,4,possible,POSSIBLE,0.000877963,0.000877963,1,"To top it off, I was in the FARTHEST POSSIBLE SPOT in the library from the reserves desk; I was studying at the far end of D-level, the lowest level in the library, while the reserves desk is on the opposite end of the library on M-level (ground floor).",24264,5,10,"('To', 'top', 'it', 'off', ',', 'I', 'was', 'in', 'the', 'FARTHEST', 'POSSIBLE', 'SPOT', 'in', 'the', 'library', 'from', 'the', 'reserves', 'desk', ';', 'I', 'was', 'studying', 'at', 'the', 'far', 'end', 'of', 'D', '-', 'level', ',', 'the', 'lowest', 'level', 'in', 'the', 'library', ',', 'while', 'the', 'reserves', 'desk', 'is', 'on', 'the', 'opposite', 'end', 'of', 'the', 'library', 'on', 'M', '-', 'level', '(', 'ground', 'floor', ')', '.')",1139,ADJ,ADP,"['OFF', 'OF', 'UP', 'IN', 'ON']"
5,5,ako,ako,0.002123142,0.997876858,1,"Naiinis ako na kahit sa tourist class, magkakadikit ang mga cots.",15791,13,1,"('Naiinis', 'ako', 'na', 'kahit', 'sa', 'tourist', 'class', ',', 'magkakadikit', 'ang', 'mga', 'cots', '.')",471,NOUN,INTJ,"['ako', 'kami', 'ko', 'lang', 'ka']"
6,6,possibility,possibility,0.003115265,0,1,"But, since Iraq does not have a nuclear program, I guess that rules that possibility out.",3292,16,16,"('But', ',', 'since', 'Iraq', 'does', 'not', 'have', 'a', 'nuclear', 'program', ',', 'I', 'guess', 'that', 'rules', 'that', 'possibility', 'out', '.')",321,NOUN,VERB,"['one', 'question', 'all', 'issue', 'problem']"
7,7,%,%,0.000697837,0.002791347,1,"Precisely, how are we suppose to complete a paper with 2 hours worth of question within an hour?' .....'I couldn't finish that #$*%ing paper!' '",13767,8,31,"('Precisely', ',', 'how', 'are', 'we', 'suppose', 'to', 'complete', 'a', 'paper', 'with', '2', 'hours', 'worth', 'of', 'question', 'within', 'an', 'hour', '?', ""'"", '.....', ""'"", 'I', 'could', ""n't"", 'finish', 'that', '#', '$', '*', '%', 'ing', 'paper', '!', ""'"", ""'"")",1433,SYM,PUNCT,"['%', '#', '!', '#', '*']"
8,8,productive,productive,0.00390625,0,1,productive my ass.,32731,4,0,"('productive', 'my', 'ass', '.')",256,ADJ,VERB,"['fuck', 'Fuck', 'fucking', 'fucked', 'in']"
9,9,skill,skills,0.003952569,0,2,"For five years, as Dango tended to her grandmother, Anzai taught her how to blend her geisha skills her with his tactician training while keeping her in shape through strength training and yoga.",19086,23,19,"('For', 'five', 'years', ',', 'as', 'Dango', 'tended', 'to', 'her', 'grandmother', ',', 'Anzai', 'taught', 'her', 'how', 'to', 'blend', 'her', 'geisha', 'skills', 'her', 'with', 'his', 'tactician', 'training', 'while', 'keeping', 'her', 'in', 'shape', 'through', 'strength', 'training', 'and', 'yoga', '.')",506,NOUN,VERB,"['training', 'style', 'in', 'and', 'with']"
10,10,skill,skills,0.003952569,0,2,This is mainly down to me going off on ccf camp which will involve a day of paintballing apparently to improve any soldierly skills any of us have.,35528,12,23,"('This', 'is', 'mainly', 'down', 'to', 'me', 'going', 'off', 'on', 'ccf', 'camp', 'which', 'will', 'involve', 'a', 'day', 'of', 'paintballing', 'apparently', 'to', 'improve', 'any', 'soldierly', 'skills', 'any', 'of', 'us', 'have', '.')",506,NOUN,NOUN,"['skills', 'skill', 'knowledge', 'training', 'memory']"
11,11,feeling,feelings,0.002214349,0.001328609,5,i still hv feelings 4 Reina..,26798,52,3,"('i', 'still', 'hv', 'feelings', '4', 'Reina', '..')",2258,NOUN,PROPN,"['t', 'det', 'respekt', 'en', 'lyst']"
12,12,feeling,feelings,0.002214349,0.001328609,5,"it 2 b lyk, i hv feelings 4 dem..",26795,58,7,"('it', '2', 'b', 'lyk', ',', 'i', 'hv', 'feelings', '4', 'dem', '..')",2258,NOUN,NUM,"['2', 't', 'm', '1', 'i']"
13,13,feeling,feelings,0.002214349,0.001328609,5,"Shes filled with hate deep inside, but that feelings nothing new.",30216,134,10,"('She', 's', 'filled', 'with', 'hate', 'deep', 'inside', ',', 'but', 'that', 'feelings', 'nothing', 'new', '.')",2258,NOUN,AUX,"['s', 's', 'is', 'was', 'means']"
14,14,feeling,feelings,0.002214349,0.001328609,5,"So I'm walking home in the rain reading it, in disbelief, smsing luke 2 double check its bout me, yup is, yeh feelings mutual etc.",37743,10,27,"('So', 'I', ""'m"", 'walking', 'home', 'in', 'the', 'rain', 'reading', 'it', ',', 'in', 'disbelief', ',', 'smsing', 'luke', '2', 'double', 'check', 'its', 'bout', 'me', ',', 'yup', 'is', ',', 'yeh', 'feelings', 'mutual', 'etc', '.')",2258,NOUN,INTJ,"['its', 'is', 's', ',', 'the']"
15,15,feeling,feelings,0.002214349,0.001328609,5,"I???m rili confused  ),=   Sekarang ni bukannya masa yang tepat untukku bilang to let mie feelings out..",14305,9,20,"('I', '?\x80\x99m', 'rili', 'confused', ' ', ')', ',', '=', '  ', 'Sekarang', 'ni', 'bukannya', 'masa', 'yang', 'tepat', 'untukku', 'bilang', 'to', 'let', 'mie', 'feelings', 'out', '..')",2258,PART,VERB,"['chill', 'hang', 'come', 'all', 'go']"
16,16,jesus,JESUS,0.000940734,0.996237065,1,Thank you JESUS for all the ways you've made and so much more... like dying on the cross for my sins...,36603,103,2,"('Thank', 'you', 'JESUS', 'for', 'all', 'the', 'ways', 'you', ""'ve"", 'made', 'and', 'so', 'much', 'more', '...', 'like', 'dying', 'on', 'the', 'cross', 'for', 'my', 'sins', '...')",1063,PROPN,PROPN,"['...', 'Lord', 'all', 'again', 'God']"
