lemma	word form	sentence	doc index	sent index	token index	tokenized sentence	is_randomized
earn	earned	i'm glad he is doing well now, with a stable job , gf etc. time passes and its time for marraige, but in the end he assumed that his parent will pay for his wedding as he himself and she spent everything they earned?	39845	18	47	"('i', ""'m"", 'glad', 'he', 'is', 'doing', 'well', 'now', ',', 'with', 'a', 'stable', 'job', ',', 'gf', 'etc', '.', 'time', 'passes', 'and', 'its', 'time', 'for', 'marraige', ',', 'but', 'in', 'the', 'end', 'he', 'assumed', 'that', 'his', 'parent', 'will', 'pay', 'for', 'his', 'wedding', 'as', 'he', 'himself', 'and', 'she', 'spent', 'everything', 'they', 'earned', '?')"	False
eat	ate	i ordered half a slab of ribs and ate seriously 1 rib haha, will ate his whole full slab and my extra half!	36950	9	8	('i', 'ordered', 'half', 'a', 'slab', 'of', 'ribs', 'and', 'ate', 'seriously', '1', 'rib', 'haha', ',', 'will', 'ate', 'his', 'whole', 'full', 'slab', 'and', 'my', 'extra', 'half', '!')	False
earn	earn	From the quote of the day: 'the only way to enjoy anything in this life is to earn it first.'  : )~kto	6136	30	19	"('From', 'the', 'quote', 'of', 'the', 'day', ':', ""'"", 'the', 'only', 'way', 'to', 'enjoy', 'anything', 'in', 'this', 'life', 'is', 'to', 'earn', 'it', 'first', '.', ""'"", ' ', ':', ')', '~kto')"	False
eat	eat	i wanted to go with them too but dunno why also felt like not going ...in the end i didnt follow them to eat	12514	12	25	('i', 'wanted', 'to', 'go', 'with', 'them', 'too', 'but', 'dunno', 'why', 'also', 'felt', 'like', 'not', 'going', '...', 'in', 'the', 'end', 'i', 'did', 'nt', 'follow', 'them', 'to', 'eat')	False
earn	earned	Next was 'made in singapore', some clapped along and we earned cheers.	30256	39	13	"('Next', 'was', ""'"", 'made', 'in', 'singapore', ""'"", ',', 'some', 'clapped', 'along', 'and', 'we', 'earned', 'cheers', '.')"	False
earn	earned	I was thrilled that they got their rings a few years back, they earned them, but my boys will always be the pistons.	38738	3	14	('I', 'was', 'thrilled', 'that', 'they', 'got', 'their', 'rings', 'a', 'few', 'years', 'back', ',', 'they', 'earned', 'them', ',', 'but', 'my', 'boys', 'will', 'always', 'be', 'the', 'pistons', '.')	False
eat	eating	den from tue till now, i've been eating alot.	118	21	9	"('den', 'from', 'tue', 'till', 'now', ',', 'i', ""'ve"", 'been', 'eating', 'alot', '.')"	False
eat	ate	On friday i came home and went on the computer, i took a shower then blowdryed my hair, ate some chinese and got dressed and put on some makeup.	29890	2	20	('On', 'friday', 'i', 'came', 'home', 'and', 'went', 'on', 'the', 'computer', ',', 'i', 'took', 'a', 'shower', 'then', 'blowdryed', 'my', 'hair', ',', 'ate', 'some', 'chinese', 'and', 'got', 'dressed', 'and', 'put', 'on', 'some', 'makeup', '.')	False
earn	earn	I just have your basic, normal bills that somehow amounted to more than i earn currently and have been steadily piling up as i juggle them.	29048	12	15	('I', 'just', 'have', 'your', 'basic', ',', 'normal', 'bills', 'that', 'somehow', 'amounted', 'to', 'more', 'than', 'i', 'earn', 'currently', 'and', 'have', 'been', 'steadily', 'piling', 'up', 'as', 'i', 'juggle', 'them', '.')	False
eat	eat	It is very relaxing to look at these birds as they sing and eat.	17025	17	13	('It', 'is', 'very', 'relaxing', 'to', 'look', 'at', 'these', 'birds', 'as', 'they', 'sing', 'and', 'eat', '.')	False
eat	eat	Me... eat... you.'	16945	28	2	"('Me', '...', 'eat', '...', 'you', '.', ""'"")"	False
eat	eat	Ask her to eat!!'	124	6	3	"('Ask', 'her', 'to', 'eat', '!', '!', ""'"")"	False
eat	eat	Mommy's cooking~~~~hohohohoho~~~~can't wait to eat.	26526	10	5	"('Mommy', ""'s"", ""cooking~~~~hohohohoho~~~~can't"", 'wait', 'to', 'eat', '.')"	False
eat	eat	I didnt do anything but sit here on the computer and eat.	33477	3	12	('I', 'did', 'nt', 'do', 'anything', 'but', 'sit', 'here', 'on', 'the', 'computer', 'and', 'eat', '.')	False
earn	earn	I'm supposed to earn cash and not lose it.	21857	27	4	"('I', ""'m"", 'supposed', 'to', 'earn', 'cash', 'and', 'not', 'lose', 'it', '.')"	False
eat	eating	Now i'm eating and doing greek.	26026	1	3	"('Now', 'i', ""'m"", 'eating', 'and', 'doing', 'greek', '.')"	False
eat	eating	I job shadowed missy at work for a couple of days and this is a picture of missy eating her breakfast from a paper cup.	1368	2	18	('I', 'job', 'shadowed', 'missy', 'at', 'work', 'for', 'a', 'couple', 'of', 'days', 'and', 'this', 'is', 'a', 'picture', 'of', 'missy', 'eating', 'her', 'breakfast', 'from', 'a', 'paper', 'cup', '.')	False
eat	eat	Since i had my gallbladder surgery, i've been trying to eat low and no fat foods.	11052	0	12	"('Since', 'i', 'had', 'my', 'gallbladder', 'surgery', ',', 'i', ""'ve"", 'been', 'trying', 'to', 'eat', 'low', 'and', 'no', 'fat', 'foods', '.')"	False
eat	ate	and then i ate pizza, then i went upstairs and my moms door was open	35771	3	3	('and', 'then', 'i', 'ate', 'pizza', ',', 'then', 'i', 'went', 'upstairs', 'and', 'my', 'moms', 'door', 'was', 'open')	False
earn	earn	Still, not having to run register, and only needing to worry about dancing around and entertaining people could quite possibly be the easiest money there is to earn, so i'm down, yo.	17105	22	29	"('Still', ',', 'not', 'having', 'to', 'run', 'register', ',', 'and', 'only', 'needing', 'to', 'worry', 'about', 'dancing', 'around', 'and', 'entertaining', 'people', 'could', 'quite', 'possibly', 'be', 'the', 'easiest', 'money', 'there', 'is', 'to', 'earn', ',', 'so', 'i', ""'m"", 'down', ',', 'yo', '.')"	False
