,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,BERT tag,BERT replacements,entropy,%OPENCLASS,POS PREDICTIONS,ROBERTA REPLACEMENTS
0,few,FeW,0.0003378378378378,0.0001689189189189,2,CoS FoR thE pAsS FeW 25Hrs...,31444,3,4,"('CoS', 'FoR', 'thE', 'pAsS', 'FeW', '25Hrs', '...')",5920.0,PUNCT,"['=', '-', ':,.']",0.0165836435253524,1.0,ADP,"['On', 'of', 'E', 'ar', 'at']"
1,few,few,0.0003378378378378,0.0001689189189189,2,"I few more weeks or months, will tell.",13393,24,1,"('I', 'few', 'more', 'weeks', 'or', 'months', ',', 'will', 'tell', '.')",5920.0,VERB,"['have', 'need', 'want', 'mean', 'expect']",0.0165836435253524,1.0,VERB,"['guess', 'think', 'hope', 'need', 'suppose']"
2,able,abled,0.0003502626970227,0.0003502626970227,1,Shroom thanked him and looked sufficiently ill-abled that Sprout took up the electric screwdriver and removed the cabinet doors that remained.,23858,21,8,"('Shroom', 'thanked', 'him', 'and', 'looked', 'sufficiently', 'ill', '-', 'abled', 'that', 'Sprout', 'took', 'up', 'the', 'electric', 'screwdriver', 'and', 'removed', 'the', 'cabinet', 'doors', 'that', 'remained', '.')",2855.0,VERB,"['disposed', 'tempered', 'dressed', 'advised', 'prepared']",0.0174023943317802,1.0,SCONJ,"['so', 'such', 'after', 'enough', 'for']"
3,george,GEORGE,0.0018148820326678,0.998185117967332,1,GEORGE THE TUMOUR PIG!!,16833,103,0,"('GEORGE', 'THE', 'TUMOUR', 'PIG', '!', '!')",551.0,PUNCT,"['""', 'IN', 'ON', 'OH', '-']",0.0191420936408271,1.0,ADP,"['FOR', 'NOT', '</s>', 'AND', '←']"
4,possible,POSSIBLE,0.0008779631255487,0.0008779631255487,1,"To top it off, I was in the FARTHEST POSSIBLE SPOT in the library from the reserves desk; I was studying at the far end of D-level, the lowest level in the library, while the reserves desk is on the opposite end of the library on M-level (ground floor).",24264,5,10,"('To', 'top', 'it', 'off', ',', 'I', 'was', 'in', 'the', 'FARTHEST', 'POSSIBLE', 'SPOT', 'in', 'the', 'library', 'from', 'the', 'reserves', 'desk', ';', 'I', 'was', 'studying', 'at', 'the', 'far', 'end', 'of', 'D', '-', 'level', ',', 'the', 'lowest', 'level', 'in', 'the', 'library', ',', 'while', 'the', 'reserves', 'desk', 'is', 'on', 'the', 'opposite', 'end', 'of', 'the', 'library', 'on', 'M', '-', 'level', '(', 'ground', 'floor', ')', '.')",1139.0,ADP,"['OF', '-', '/', 'and', 'of']",0.0203599292318292,0.9956293706293706,ADP,"['OFF', 'OF', 'UP', 'IN', 'ON']"
5,ako,ako,0.0021231422505307,0.9978768577494692,1,"Naiinis ako na kahit sa tourist class, magkakadikit ang mga cots.",15791,13,1,"('Naiinis', 'ako', 'na', 'kahit', 'sa', 'tourist', 'class', ',', 'magkakadikit', 'ang', 'mga', 'cots', '.')",471.0,SYM,['##aianitat'],0.0219124112145881,1.0,PROPN,"['ako', 'kami', 'ko', 'lang', 'ka']"
6,possibility,possibility,0.0031152647975077,0.0,1,"But, since Iraq does not have a nuclear program, I guess that rules that possibility out.",3292,16,16,"('But', ',', 'since', 'Iraq', 'does', 'not', 'have', 'a', 'nuclear', 'program', ',', 'I', 'guess', 'that', 'rules', 'that', 'possibility', 'out', '.')",321.0,VERB,"['one', 'shit', 'part', 'thing', 'stuff']",0.0304264018763344,1.0,VERB,"['one', 'question', 'all', 'issue', 'problem']"
7,%,%,0.0006978367062107,0.0027913468248429,1,"Precisely, how are we suppose to complete a paper with 2 hours worth of question within an hour?' .....'I couldn't finish that #$*%ing paper!' '",13767,8,31,"('Precisely', ',', 'how', 'are', 'we', 'suppose', 'to', 'complete', 'a', 'paper', 'with', '2', 'hours', 'worth', 'of', 'question', 'within', 'an', 'hour', '?', ""'"", '.....', ""'"", 'I', 'could', ""n't"", 'finish', 'that', '#', '$', '*', '%', 'ing', 'paper', '!', ""'"", ""'"")",1433.0,ADJ,"[""*'-"", '^', '$']",0.0360258132896723,0.9808350444900752,NUM,"['%', '#', '!', '#', '*']"
8,productive,productive,0.00390625,0.0,1,productive my ass.,32731,4,0,"('productive', 'my', 'ass', '.')",256.0,VERB,"['Oh', 'Kiss', 'On', 'Fuck', 'And']",0.0368745062538719,1.0,VERB,"['fuck', 'Fuck', 'fucking', 'fucked', 'in']"
9,skill,skills,0.0039525691699604,0.0,2,"For five years, as Dango tended to her grandmother, Anzai taught her how to blend her geisha skills her with his tactician training while keeping her in shape through strength training and yoga.",19086,23,19,"('For', 'five', 'years', ',', 'as', 'Dango', 'tended', 'to', 'her', 'grandmother', ',', 'Anzai', 'taught', 'her', 'how', 'to', 'blend', 'her', 'geisha', 'skills', 'her', 'with', 'his', 'tactician', 'training', 'while', 'keeping', 'her', 'in', 'shape', 'through', 'strength', 'training', 'and', 'yoga', '.')",506.0,ADP,"['into', 'around', 'to', 'with', 'for']",0.037244401880164,1.0,ADP,"['training', 'style', 'in', 'and', 'with']"
